"","Mean","SD","Naive SE","Time-series SE"
"beta_iter[15]",0.438926977262606,0.0422180826839834,0.000545033103812918,0.00131652789017485
"beta_iter[16]",0.458607221046705,0.0409302309997023,0.000528407010060898,0.0011674885600352
"beta_iter[17]",0.529784940073349,0.048489955313631,0.000626002631293449,0.00182282557211631
"beta_iter[18]",0.487639351532835,0.0389098077136584,0.000502323457597107,0.00102561964165907
"beta_iter[19]",0.603534080281983,0.0573450815536333,0.000740321819480426,0.00309706978419644
"beta_iter[20]",0.46974499007452,0.0346400407363999,0.000447201002946745,0.000827522198549939
"beta_iter[21]",0.502455652053042,0.0356381892972209,0.00046008704545708,0.000860645623610334
"beta_iter[22]",0.412934696561025,0.0353101065855091,0.000455851515861618,0.000931918086240333
"beta_iter[23]",0.540512740639005,0.0454978022314005,0.000587374101104176,0.001604618029593
"beta_iter[24]",0.56182615588984,0.0455911034693378,0.000588578614906548,0.0017430352818198
"beta_iter[25]",0.455382353172221,0.0477601875500993,0.000616581369977591,0.00174791551400483
"beta_iter[26]",0.475897207215903,0.0390766401939084,0.000504477255655822,0.00113081447094059
"beta_iter[27]",0.452550269762052,0.0443408075496875,0.000572437363991092,0.00150611203770399
"beta_iter[28]",0.537918638597809,0.0442790780125791,0.000571640439093793,0.00159143638356649
"beta_iter[29]",0.455589805954323,0.0332291974951057,0.000428987095021272,0.000733452604752776
"beta_iter[30]",0.525295192742407,0.0702524302991808,0.000906954975264415,0.00453504274218414
"beta_iter[31]",0.531252991074025,0.0402228460513375,0.000519274709646317,0.00129563762623582
"beta_iter[32]",0.464703112891027,0.0393045811151868,0.000507419960295923,0.000983257278794088
"beta_iter[33]",0.577556412473878,0.0416528924274123,0.00053773652897579,0.00140908484499861
"beta_iter[34]",0.44911334783893,0.0439133205187078,0.000566918530152079,0.00155752924217688
"beta_iter[35]",0.598249090590672,0.0391285609259199,0.000505147549423834,0.00124205621118906
"beta_iter[36]",0.427079571781017,0.0497295921432273,0.000642006273948022,0.00198124317979914
"beta_iter[37]",0.583449154486421,0.0560319970609527,0.000723369971572709,0.00264229698244846
"beta_iter[38]",0.468141020023133,0.0414237104623841,0.000534777802529772,0.00122275307511934
"beta_iter[39]",0.579060605860921,0.0560234887230728,0.000723260129403,0.00272195443121473
"beta_iter[40]",0.498392965837717,0.0412523837460134,0.000532565984132224,0.00129714847556233
"beta_iter[41]",0.635372816505889,0.0541986555389631,0.000699701634297455,0.00283094838471338
"beta_iter[42]",0.578576878877707,0.0547386432928646,0.000706672846224176,0.00252490442629934
"beta_iter[43]",0.448335047770659,0.0358273662780705,0.000462529309778134,0.000893326401055058
"beta_iter[44]",0.396260929485308,0.0349295626395171,0.000450938714643862,0.000939195084997267
"beta_iter[45]",0.48619740989243,0.0438636543795245,0.000566277343052321,0.00160265941111644
"beta_iter[46]",0.500821562032215,0.0551398714731753,0.000711852679758751,0.00251490927242207
"beta_iter[47]",0.354939967645307,0.0481110974610769,0.000621111597448375,0.00182639367586992
"beta_iter[48]",0.53490953070446,0.0513822961077823,0.000663342590384464,0.00204513977077684
